,Origen,Destino,Numero de Vuelo,Salida,Llegada
1683,Paris [CDG],San Francisco Airport (SFO),KL 2142,10:45,12:32
1684,Paris [CDG],San Francisco Airport (SFO),DL 8552,10:45,12:32
1685,Santa Ana [SNA],San Francisco Airport (SFO),1I 804,11:46,12:54
1686,Aspen [ASE],San Francisco Airport (SFO),LX J551,11:30,12:55
1687,Dallas [DFW],San Francisco Airport (SFO),AA 2405,10:53,12:33
1688,Dallas [DFW],San Francisco Airport (SFO),G3 6173,10:53,
1689,Dallas [DFW],San Francisco Airport (SFO),JL 7577,10:53,
1690,Dallas [DFW],San Francisco Airport (SFO),QF 3058,10:53,
1691,Dallas [DFW],San Francisco Airport (SFO),QR 7591,10:53,
1692,Santa Barbara [SBA],San Francisco Airport (SFO),N1 6XY,12:29,12:57
1693,16 Min,San Francisco Airport (SFO),Delay,39,12:31
1694,New York [JFK],San Francisco Airport (SFO),QF 3695,10:06,12:31
1695,New York [JFK],San Francisco Airport (SFO),QR 2067,10:06,12:31
1696,New York [JFK],San Francisco Airport (SFO),SQ 1418,10:06,12:31
1697,New Philadelphia [PHL],San Francisco Airport (SFO),AA 2821,20:41,23:06
1698,2:06,San Francisco Airport (SFO),Delay,5439,23:02
1699,2:02,San Francisco Airport (SFO),Delay,AA2821,23:02
1700,2:02,San Francisco Airport (SFO),Delay,1I 791,21:00
1701,Maui [OGG],San Francisco Airport (SFO),AS 878,13:00,
1702,Atlanta [ATL],San Francisco Airport (SFO),F9 1523,18:36,
1703,Mexico City [MEX],San Francisco Airport (SFO),UA 1272,17:10,20:39
1704,Kauai Island [LIH],San Francisco Airport (SFO),UA 1563,12:50,
1705,Kauai Island [LIH],San Francisco Airport (SFO),LH 7859,12:50,
1706,Kauai Island [LIH],San Francisco Airport (SFO),AV 2357,12:50,
1707,Singapore [SIN],San Francisco Airport (SFO),UA 28,22:34,21:38
1708,33 Min,San Francisco Airport (SFO),Delay,357,21:15
1709,8 Min,San Francisco Airport (SFO),Delay,7459,
1710,Boston [BOS],San Francisco Airport (SFO),FJ 5863,17:25,
1711,Boston [BOS],San Francisco Airport (SFO),QR 3412,17:25,
1712,Boston [BOS],San Francisco Airport (SFO),SQ 1393,17:25,
1713,Houston [IAH],San Francisco Airport (SFO),UA 1765,18:59,
1714,Manila [MNL],San Francisco Airport (SFO),PR 104,2:00,
1715,Phoenix [PHX],San Francisco Airport (SFO),UA 2150,19:10,
1716,San Diego [SAN],San Francisco Airport (SFO),UA 2247,19:40,21:50
1717,34 Min,San Francisco Airport (SFO),Delay,5873,
1718,Pittsburgh [PIT],San Francisco Airport (SFO),UA 1198,18:45,
1719,San Diego [SAN],San Francisco Airport (SFO),VA 8439,19:40,21:50
1720,34 Min,San Francisco Airport (SFO),Delay,UA2247,21:50
1721,34 Min,San Francisco Airport (SFO),Delay,UA2247,21:50
1722,34 Min,San Francisco Airport (SFO),Delay,UA2247,21:50
1723,34 Min,San Francisco Airport (SFO),Delay,UA2247,20:52
1724,Los Angeles [LAX],San Francisco Airport (SFO),AS 3393,21:22,22:22
1725,1:04,San Francisco Airport (SFO),Delay,8090,20:50
1726,Chicago [ORD],San Francisco Airport (SFO),OZ 6304,18:54,20:50
1727,Chicago [ORD],San Francisco Airport (SFO),NZ 9322,18:54,20:50
1728,Chicago [ORD],San Francisco Airport (SFO),EK 6302,18:54,20:50
1729,Chicago [ORD],San Francisco Airport (SFO),AC 5395,18:54,20:50
1730,Los Angeles [LAX],San Francisco Airport (SFO),TN 2460,19:55,
1731,Los Angeles [LAX],San Francisco Airport (SFO),QR 3345,19:55,
1732,Los Angeles [LAX],San Francisco Airport (SFO),IB 808,19:55,
1733,Los Angeles [LAX],San Francisco Airport (SFO),AY 2514,19:55,
1734,Mexico City [MEX],San Francisco Airport (SFO),AM 664,17:27,21:27
1735,8 Min,San Francisco Airport (SFO),Delay,2416,21:58
1736,39 Min,San Francisco Airport (SFO),Delay,7989,21:13
1737,Las Vegas [LAS],San Francisco Airport (SFO),VA 8125,19:41,21:58
1738,39 Min,San Francisco Airport (SFO),Delay,UA2416,21:58
1739,39 Min,San Francisco Airport (SFO),Delay,UA2416,21:58
1740,39 Min,San Francisco Airport (SFO),Delay,UA2416,21:58
1741,39 Min,San Francisco Airport (SFO),Delay,UA2416,21:58
1742,39 Min,San Francisco Airport (SFO),Delay,UA2416,21:58
1743,39 Min,San Francisco Airport (SFO),Delay,UA2416,
1744,Los Angeles [LAX],San Francisco Airport (SFO),GA J875,19:48,21:20
1745,1 Min,San Francisco Airport (SFO),Delay,2482,21:38
1746,17 Min,San Francisco Airport (SFO),Delay,8461,21:38
1747,17 Min,San Francisco Airport (SFO),Delay,UA2482,21:38
1748,17 Min,San Francisco Airport (SFO),Delay,UA2482,21:38
1749,17 Min,San Francisco Airport (SFO),Delay,UA2482,21:38
1750,17 Min,San Francisco Airport (SFO),Delay,UA2482,21:37
1751,16 Min,San Francisco Airport (SFO),Delay,UA2482,
1752,Nashville [BNA],San Francisco Airport (SFO),NZ 9138,18:34,
1753,Jackson [JAC],San Francisco Airport (SFO),1I 904,13:12,21:24
1754,New York [JFK],San Francisco Airport (SFO),DL 767,17:57,20:26
1755,New York [JFK],San Francisco Airport (SFO),AF 6876,17:57,
1756,New York [JFK],San Francisco Airport (SFO),AM 3549,17:57,
1757,New York [JFK],San Francisco Airport (SFO),AZ 3290,17:57,
1758,New York [JFK],San Francisco Airport (SFO),KE 7249,17:57,
1759,New York [JFK],San Francisco Airport (SFO),KL 5048,17:57,
1760,New York [JFK],San Francisco Airport (SFO),UX 3319,17:57,
1761,New York [JFK],San Francisco Airport (SFO),VS 3159,17:57,
1762,Santa Ana [SNA],San Francisco Airport (SFO),AS 3452,20:00,22:12
1763,44 Min,San Francisco Airport (SFO),Delay,613,22:17
1764,48 Min,San Francisco Airport (SFO),Delay,5841,22:17
1765,48 Min,San Francisco Airport (SFO),Delay,AS613,22:17
1766,48 Min,San Francisco Airport (SFO),Delay,AS613,22:17
1767,48 Min,San Francisco Airport (SFO),Delay,AS613,21:42
1768,12 Min,San Francisco Airport (SFO),Delay,745,21:01
1769,Santa Barbara [SBA],San Francisco Airport (SFO),UA 5557,20:17,22:15
1770,45 Min,San Francisco Airport (SFO),Delay,475,20:51
1771,Boston [BOS],San Francisco Airport (SFO),KE 6733,17:27,
1772,Boston [BOS],San Francisco Airport (SFO),LA 6567,17:27,
1773,Toronto [YYZ],San Francisco Airport (SFO),NZ 4737,18:50,21:01
1774,Toronto [YYZ],San Francisco Airport (SFO),UA 8433,18:50,21:01
1775,Los Angeles [LAX],San Francisco Airport (SFO),TN 1306,20:43,21:42
1776,12 Min,San Francisco Airport (SFO),Delay,AA3105,21:42
1777,12 Min,San Francisco Airport (SFO),Delay,AA3105,21:42
1778,12 Min,San Francisco Airport (SFO),Delay,AA3105,
1779,Los Angeles [LAX],San Francisco Airport (SFO),IB 4726,20:43,
1780,Los Angeles [LAX],San Francisco Airport (SFO),GF 6428,20:43,
1781,Los Angeles [LAX],San Francisco Airport (SFO),AY 4125,20:43,
1782,Santa Barbara [SBA],San Francisco Airport (SFO),CM 1440,20:17,22:13
1783,43 Min,San Francisco Airport (SFO),Delay,UA5557,22:13
1784,43 Min,San Francisco Airport (SFO),Delay,UA5557,21:23
1785,Eugene [EUG],San Francisco Airport (SFO),UA 5838,19:54,
1786,Eugene [EUG],San Francisco Airport (SFO),OZ 6325,19:54,
1787,Eugene [EUG],San Francisco Airport (SFO),NZ 9172,19:54,
1788,Eugene [EUG],San Francisco Airport (SFO),CM 1131,19:54,
1789,Eugene [EUG],San Francisco Airport (SFO),AV 2270,19:54,
1790,Dallas [DFW],San Francisco Airport (SFO),QR 7597,19:45,
1791,Dallas [DFW],San Francisco Airport (SFO),QF 4529,19:45,
1792,Dallas [DFW],San Francisco Airport (SFO),IB 4439,19:45,
1793,Dallas [DFW],San Francisco Airport (SFO),CX 7544,19:45,
1794,Honolulu [HNL],San Francisco Airport (SFO),UA 1141,13:30,
1795,Honolulu [HNL],San Francisco Airport (SFO),NZ 9152,13:30,
1796,Honolulu [HNL],San Francisco Airport (SFO),CM 2362,13:30,
1797,Honolulu [HNL],San Francisco Airport (SFO),CA 7233,13:30,
1798,Honolulu [HNL],San Francisco Airport (SFO),AV 2254,13:30,
1799,Honolulu [HNL],San Francisco Airport (SFO),AC 3526,13:30,
1800,New Orleans [MSY],San Francisco Airport (SFO),UA 2128,18:56,22:31
1801,54 Min,San Francisco Airport (SFO),Delay,5281,22:44
1802,1:07,San Francisco Airport (SFO),Delay,8161,
1803,Newark [EWR],San Francisco Airport (SFO),TP 8490,18:56,
1804,Newark [EWR],San Francisco Airport (SFO),SK 6886,18:56,
1805,Newark [EWR],San Francisco Airport (SFO),OZ 9524,18:56,
1806,Newark [EWR],San Francisco Airport (SFO),NZ 9128,18:56,
1807,Newark [EWR],San Francisco Airport (SFO),LH 7886,18:56,
1808,Ontario [ONT],San Francisco Airport (SFO),CM 1360,20:12,22:37
1809,1:00,San Francisco Airport (SFO),Delay,UA5281,22:37
1810,1:00,San Francisco Airport (SFO),Delay,UA5281,22:31
1811,54 Min,San Francisco Airport (SFO),Delay,UA2128,22:31
1812,54 Min,San Francisco Airport (SFO),Delay,1I 904,21:39
1813,Seattle [SEA],San Francisco Airport (SFO),UA 2363,21:00,22:41
1814,1:01,San Francisco Airport (SFO),Delay,8295,22:32
1815,52 Min,San Francisco Airport (SFO),Delay,UA2363,22:32
1816,52 Min,San Francisco Airport (SFO),Delay,UA2363,22:32
1817,52 Min,San Francisco Airport (SFO),Delay,UA2363,22:32
1818,52 Min,San Francisco Airport (SFO),Delay,UA2363,22:32
1819,52 Min,San Francisco Airport (SFO),Delay,UA2363,22:50
1820,1:08,San Francisco Airport (SFO),Delay,8448,22:41
1821,59 Min,San Francisco Airport (SFO),Delay,UA1012,22:41
1822,59 Min,San Francisco Airport (SFO),Delay,UA1012,22:41
1823,59 Min,San Francisco Airport (SFO),Delay,UA1012,22:41
1824,59 Min,San Francisco Airport (SFO),Delay,UA1012,22:41
1825,59 Min,San Francisco Airport (SFO),Delay,UA1012,22:41
1826,59 Min,San Francisco Airport (SFO),Delay,UA1012,21:46
1827,3 Min,San Francisco Airport (SFO),Delay,2656,
1828,Seattle [SEA],San Francisco Airport (SFO),QR 2057,20:11,
1829,Seattle [SEA],San Francisco Airport (SFO),FI 7657,20:11,
1830,Seattle [SEA],San Francisco Airport (SFO),CX 7999,20:11,
1831,Seattle [SEA],San Francisco Airport (SFO),BA 7542,20:11,
1832,Seattle [SEA],San Francisco Airport (SFO),AA 7469,20:11,
1833,Reno [RNO],San Francisco Airport (SFO),UA 278,20:30,22:56
1834,1:12,San Francisco Airport (SFO),Delay,6346,22:28
1835,44 Min,San Francisco Airport (SFO),Delay,UA278,22:28
1836,44 Min,San Francisco Airport (SFO),Delay,UA278,22:28
1837,44 Min,San Francisco Airport (SFO),Delay,UA278,22:55
1838,1:10,San Francisco Airport (SFO),Delay,1893,
1839,Redmond [RDM],San Francisco Airport (SFO),CM 1431,20:08,22:52
1840,1:07,San Francisco Airport (SFO),Delay,UA5534,
1841,Washington DC [IAD],San Francisco Airport (SFO),SN 8947,18:53,
1842,Washington DC [IAD],San Francisco Airport (SFO),SK 6728,18:53,
1843,Washington DC [IAD],San Francisco Airport (SFO),OZ 6316,18:53,
1844,Washington DC [IAD],San Francisco Airport (SFO),NZ 9186,18:53,
1845,Baltimore [BWI],San Francisco Airport (SFO),UA 548,18:52,21:21
1846,Baltimore [BWI],San Francisco Airport (SFO),NZ 9036,18:52,21:21
1847,Austintown [AUS],San Francisco Airport (SFO),UA 1401,20:00,
1848,Austintown [AUS],San Francisco Airport (SFO),VA 8472,20:00,
1849,Austintown [AUS],San Francisco Airport (SFO),OZ 6404,20:00,
1850,Austintown [AUS],San Francisco Airport (SFO),AC 3775,20:00,
1851,Dallas [DAL],San Francisco Airport (SFO),AS 417,19:59,
1852,Dallas [DAL],San Francisco Airport (SFO),SQ 1383,19:59,
1853,Fort Lauderdale [FLL],San Francisco Airport (SFO),B6 277,18:40,00:22
1854,2:28,San Francisco Airport (SFO),Delay,2119,00:22
1855,2:28,San Francisco Airport (SFO),Delay,B6277,00:22
1856,2:28,San Francisco Airport (SFO),Delay,B6277,21:28
1857,Cleveland [CLE],San Francisco Airport (SFO),VA 8489,19:40,21:28
1858,Cleveland [CLE],San Francisco Airport (SFO),OZ 9526,19:40,21:28
1859,Cleveland [CLE],San Francisco Airport (SFO),NZ 9046,19:40,21:28
1860,Boston [BOS],San Francisco Airport (SFO),UA 2400,18:51,21:35
1861,Boston [BOS],San Francisco Airport (SFO),NZ 9024,18:51,21:35
1862,Boston [BOS],San Francisco Airport (SFO),OZ 9530,18:51,21:35
1863,Boston [BOS],San Francisco Airport (SFO),VA 8312,18:51,21:35
1864,Atlanta [ATL],San Francisco Airport (SFO),UA 1259,19:45,
1866,Dallas [DFW],San Francisco Airport (SFO),UA 2005,20:12,22:10
1867,10 Min,San Francisco Airport (SFO),Delay,5355,
1868,Redding [RDD],San Francisco Airport (SFO),CM 1430,20:57,
1869,Dallas [DFW],San Francisco Airport (SFO),VA 8276,20:12,22:11
1870,11 Min,San Francisco Airport (SFO),Delay,UA2005,22:11
1871,11 Min,San Francisco Airport (SFO),Delay,UA2005,22:11
1872,11 Min,San Francisco Airport (SFO),Delay,UA2005,22:11
1873,11 Min,San Francisco Airport (SFO),Delay,UA2005,
1874,Raleigh-Durham [RDU],San Francisco Airport (SFO),NZ 9558,19:07,
1875,Atlanta [ATL],San Francisco Airport (SFO),VA 8402,19:45,
1876,Atlanta [ATL],San Francisco Airport (SFO),OZ 9528,19:45,
1877,Atlanta [ATL],San Francisco Airport (SFO),NZ 9006,19:45,
1878,Los Angeles [LAX],San Francisco Airport (SFO),WN 1646,22:20,23:16
1879,1:11,San Francisco Airport (SFO),Delay,765,21:53
1880,Montreal [YUL],San Francisco Airport (SFO),NZ 4807,18:50,
1881,Montreal [YUL],San Francisco Airport (SFO),SN 9591,18:50,
1882,Montreal [YUL],San Francisco Airport (SFO),UA 8079,18:50,
1883,Atlanta [ATL],San Francisco Airport (SFO),DL 900,19:55,
1884,Beijing [PEK],San Francisco Airport (SFO),CA 785,21:15,22:15
1885,Kona [KOA],San Francisco Airport (SFO),UA 3910,14:30,22:24
1886,6 Min,San Francisco Airport (SFO),Delay,872,22:05
1887,New Philadelphia [PHL],San Francisco Airport (SFO),AA 679,19:00,
1888,Las Vegas [LAS],San Francisco Airport (SFO),WN 2532,20:50,22:46
1889,26 Min,San Francisco Airport (SFO),Delay,8930,22:05
1890,Hong Kong [HKG],San Francisco Airport (SFO),MH 9198,1:51,22:05
1891,New Philadelphia [PHL],San Francisco Airport (SFO),BA 5440,19:00,
1892,San Diego [SAN],San Francisco Airport (SFO),WN 2347,20:55,22:28
1893,3 Min,San Francisco Airport (SFO),Delay,686,22:57
1894,29 Min,San Francisco Airport (SFO),Delay,6919,22:57
1895,29 Min,San Francisco Airport (SFO),Delay,AA686,TINL
1897,Newark [EWR],San Francisco Airport (SFO),AA 7440,19:09,
1898,Toronto [YYZ],San Francisco Airport (SFO),AC 747,20:35,22:27
1899,Toronto [YYZ],San Francisco Airport (SFO),NZ 4815,20:35,22:27
1900,Toronto [YYZ],San Francisco Airport (SFO),UA 8251,20:35,22:27
1901,Charlotte [CLT],San Francisco Airport (SFO),AA 1621,20:11,22:19
1902,Chicago [ORD],San Francisco Airport (SFO),AS 331,19:59,T2D11
1903,Los Angeles [LAX],San Francisco Airport (SFO),DL 2986,21:15,22:39
1904,Chicago [ORD],San Francisco Airport (SFO),QR 2143,19:59,CANCELLED
1905,Chicago [ORD],San Francisco Airport (SFO),SQ 1312,19:59,CANCELLED
1906,Los Angeles [LAX],San Francisco Airport (SFO),WS 7040,21:15,22:39
1907,Los Angeles [LAX],San Francisco Airport (SFO),VS 4111,21:15,22:39
1908,Los Angeles [LAX],San Francisco Airport (SFO),LA 6648,21:15,22:39
1909,Los Angeles [LAX],San Francisco Airport (SFO),KL 7566,21:15,22:39
1910,Los Angeles [LAX],San Francisco Airport (SFO),CI 9171,21:15,22:39
1912,Orlando [MCO],San Francisco Airport (SFO),AS 369,19:49,22:37
1917,Washington DC [IAD],San Francisco Airport (SFO),AA 7437,19:55,22:22
1918,Washington DC [IAD],San Francisco Airport (SFO),FJ 5851,19:55,22:22
1919,Washington DC [IAD],San Francisco Airport (SFO),IB 717,19:55,22:22
1920,Washington DC [IAD],San Francisco Airport (SFO),QR 3316,19:55,22:22
1921,Washington DC [IAD],San Francisco Airport (SFO),SQ 1304,19:55,22:22
1922,Miami [MIA],San Francisco Airport (SFO),AA 2280,19:30,22:29
1923,Miami [MIA],San Francisco Airport (SFO),BA 5021,19:30,22:29
1924,Miami [MIA],San Francisco Airport (SFO),GF 4168,19:30,22:29
1925,Miami [MIA],San Francisco Airport (SFO),IB 4184,19:30,22:29
1926,Miami [MIA],San Francisco Airport (SFO),QF 4121,19:30,22:29
1927,Miami [MIA],San Francisco Airport (SFO),QR 2465,19:30,22:29
1928,Chicago [ORD],San Francisco Airport (SFO),UA 1503,20:12,22:40
1929,Houston [IAH],San Francisco Airport (SFO),UA 2414,20:44,22:42
1930,Chicago [ORD],San Francisco Airport (SFO),AC 5255,20:12,22:40
1931,Chicago [ORD],San Francisco Airport (SFO),LH 9148,20:12,22:40
1932,Chicago [ORD],San Francisco Airport (SFO),NZ 9334,20:12,22:40
1933,Chicago [ORD],San Francisco Airport (SFO),SK 3972,20:12,22:40
1934,Chicago [ORD],San Francisco Airport (SFO),VA 8091,20:12,22:40
1935,Houston [IAH],San Francisco Airport (SFO),NZ 9208,20:44,22:42
1936,Houston [IAH],San Francisco Airport (SFO),VA 8072,20:44,22:42
1937,Denver City [DEN],San Francisco Airport (SFO),UA 2239,21:12,22:49
1938,Denver City [DEN],San Francisco Airport (SFO),AC 3620,21:12,22:49
1939,Denver City [DEN],San Francisco Airport (SFO),AV 2351,21:12,22:49
1940,Denver City [DEN],San Francisco Airport (SFO),NZ 9078,21:12,22:49
1941,Denver City [DEN],San Francisco Airport (SFO),VA 8353,21:12,22:49
1942,Boston [BOS],San Francisco Airport (SFO),B6 33,19:26,22:24
1943,Boston [BOS],San Francisco Airport (SFO),AA 9285,19:26,22:24
1944,Boston [BOS],San Francisco Airport (SFO),FI 7897,19:26,22:24
1945,Boston [BOS],San Francisco Airport (SFO),HA 2359,19:26,22:24
1946,Boston [BOS],San Francisco Airport (SFO),TP 4399,19:26,22:24
1947,Chicago [ORD],San Francisco Airport (SFO),AA 2753,20:45,22:53
1948,Chicago [ORD],San Francisco Airport (SFO),AY 4047,20:23,22:53
1949,Chicago [ORD],San Francisco Airport (SFO),BA 5318,20:23,22:53
1950,Chicago [ORD],San Francisco Airport (SFO),EI 7141,20:23,22:53
1951,Chicago [ORD],San Francisco Airport (SFO),GF 6444,20:23,22:53
1952,Chicago [ORD],San Francisco Airport (SFO),IB 4547,20:23,22:53
1953,Chicago [ORD],San Francisco Airport (SFO),JL 7551,20:23,22:53
1954,Chicago [ORD],San Francisco Airport (SFO),QF 3325,20:23,22:53
1955,Chicago [ORD],San Francisco Airport (SFO),QR 2471,20:23,22:53
1956,Chicago [ORD],San Francisco Airport (SFO),RJ 7289,20:23,22:53
1957,Phoenix [SCF],San Francisco Airport (SFO),LX J345,21:34,23:22
1958,Atlanta [ATL],San Francisco Airport (SFO),DL 656,21:15,23:03
1959,Atlanta [ATL],San Francisco Airport (SFO),AF 2149,21:15,23:03
1960,Atlanta [ATL],San Francisco Airport (SFO),AM 3327,21:15,23:03
1961,Atlanta [ATL],San Francisco Airport (SFO),KL 5829,21:15,23:03
1962,Atlanta [ATL],San Francisco Airport (SFO),LA 6291,21:15,23:03
1963,Atlanta [ATL],San Francisco Airport (SFO),VS 1881,21:15,23:03
1964,Detroit [DTW],San Francisco Airport (SFO),DL 358,21:18,22:55
1965,Detroit [DTW],San Francisco Airport (SFO),AF 2851,21:18,22:55
1966,Detroit [DTW],San Francisco Airport (SFO),AZ 5821,21:18,22:55
1967,Detroit [DTW],San Francisco Airport (SFO),KL 5336,21:18,22:55
1968,Detroit [DTW],San Francisco Airport (SFO),VS 1751,21:18,22:55
1969,Panama City [PTY],San Francisco Airport (SFO),CM 382,17:59,23:12
1970,Panama City [PTY],San Francisco Airport (SFO),UA 7116,17:59,23:12
1971,New York [JFK],San Francisco Airport (SFO),DL 979,20:04,22:45
1972,New York [JFK],San Francisco Airport (SFO),AF 2818,20:04,22:45
1973,New York [JFK],San Francisco Airport (SFO),AM 3164,20:04,22:45
1974,New York [JFK],San Francisco Airport (SFO),AZ 3293,20:04,22:45
1975,New York [JFK],San Francisco Airport (SFO),KL 6442,20:04,22:45
1976,New York [JFK],San Francisco Airport (SFO),UX 3325,20:04,22:45
1977,New York [JFK],San Francisco Airport (SFO),VS 4753,20:04,22:45
1978,Los Angeles [LAX],San Francisco Airport (SFO),UA 3872,22:26,
1979,Richmond [YVR],San Francisco Airport (SFO),AC 572,21:15,23:39
1980,Richmond [YVR],San Francisco Airport (SFO),AV 6985,21:15,23:39
1981,Richmond [YVR],San Francisco Airport (SFO),UA 8084,21:15,23:39
1982,New York [JFK],San Francisco Airport (SFO),AS 41,21:40,00:05
1983,23 Min,San Francisco Airport (SFO),Delay,2170,00:05
1984,23 Min,San Francisco Airport (SFO),Delay,AS41,00:05
1985,23 Min,San Francisco Airport (SFO),Delay,AS41,00:08
1986,23 Min,San Francisco Airport (SFO),Delay,3303,23:46
1987,Seattle [SEA],San Francisco Airport (SFO),DL 2994,21:50,23:48
1988,Seattle [SEA],San Francisco Airport (SFO),AF 8615,21:50,23:48
1989,Seattle [SEA],San Francisco Airport (SFO),AM 4301,21:50,23:48
1990,Seattle [SEA],San Francisco Airport (SFO),KL 7206,21:50,23:48
1991,Seattle [SEA],San Francisco Airport (SFO),VS 1905,21:50,23:48
1992,Seattle [SEA],San Francisco Airport (SFO),WS 7741,21:50,23:48
1993,San Salvador [SAL],San Francisco Airport (SFO),AV 560,18:55,23:28
1994,San Salvador [SAL],San Francisco Airport (SFO),BR 3112,18:55,23:28
1995,San Salvador [SAL],San Francisco Airport (SFO),NH 7829,18:55,23:28
1996,Phoenix [PHX],San Francisco Airport (SFO),WN 2076,22:43,00:26
1997,31 Min,San Francisco Airport (SFO),Delay,I80,23:57
1998,Chicago [ORD],San Francisco Airport (SFO),UA 2433,21:16,23:31
1999,Los Angeles [LAX],San Francisco Airport (SFO),UA 1597,22:49,23:46
2000,Mexico City [MEX],San Francisco Airport (SFO),AM 698,20:20,
2001,Houston [IAH],San Francisco Airport (SFO),UA 2238,21:48,23:42
2002,Chicago [ORD],San Francisco Airport (SFO),VA 8092,21:16,23:31
2003,Chicago [ORD],San Francisco Airport (SFO),SK 8737,21:16,23:31
2004,Chicago [ORD],San Francisco Airport (SFO),NZ 9321,21:16,23:31
2005,Chicago [ORD],San Francisco Airport (SFO),AC 4373,21:16,23:31
2006,Los Angeles [LAX],San Francisco Airport (SFO),AV 2010,22:49,23:46
2007,Los Angeles [LAX],San Francisco Airport (SFO),CM 1060,22:49,23:46
2008,Los Angeles [LAX],San Francisco Airport (SFO),NH 7510,22:49,23:46
2009,Los Angeles [LAX],San Francisco Airport (SFO),NZ 9272,22:49,23:46
2010,Los Angeles [LAX],San Francisco Airport (SFO),VA 8058,22:49,23:46
2011,Houston [IAH],San Francisco Airport (SFO),NZ 9210,21:48,23:42
2012,Houston [IAH],San Francisco Airport (SFO),VA 8073,21:48,23:42
2013,Charlotte [CLT],Dallas Fort Worth Airport (DFW),QR 2852,18:00,
2014,Des Moines [DSM],Dallas Fort Worth Airport (DFW),QR 9394,17:51,19:28
2015,Des Moines [DSM],Dallas Fort Worth Airport (DFW),QF 4773,17:51,19:28
2016,Des Moines [DSM],Dallas Fort Worth Airport (DFW),IB 4736,17:51,19:28
2017,Des Moines [DSM],Dallas Fort Worth Airport (DFW),AS 4124,17:51,19:28
2018,Madison [MSN],Dallas Fort Worth Airport (DFW),QR 2337,17:27,
2019,Madison [MSN],Dallas Fort Worth Airport (DFW),QF 4422,17:27,
2020,Reno [RNO],Dallas Fort Worth Airport (DFW),AA 1923,14:43,
2021,Laredo [LRD],Dallas Fort Worth Airport (DFW),AA 3617,18:23,
2022,Corpus Christi [CRP],Dallas Fort Worth Airport (DFW),AA 4166,18:28,
2023,Midland [MAF],Dallas Fort Worth Airport (DFW),AA 3869,18:35,19:46
2024,Midland [MAF],Dallas Fort Worth Airport (DFW),QF 3043,18:35,19:46
2025,Midland [MAF],Dallas Fort Worth Airport (DFW),IB 4682,18:35,19:46
2026,Midland [MAF],Dallas Fort Worth Airport (DFW),BA 4852,18:35,19:46
2027,Midland [MAF],Dallas Fort Worth Airport (DFW),AS 6794,18:35,19:46
2028,Corpus Christi [CRP],Dallas Fort Worth Airport (DFW),QF 3005,18:28,
2029,Corpus Christi [CRP],Dallas Fort Worth Airport (DFW),IB 4274,18:28,
2030,Corpus Christi [CRP],Dallas Fort Worth Airport (DFW),GF 4149,18:28,
2031,Corpus Christi [CRP],Dallas Fort Worth Airport (DFW),BA 1832,18:28,
2032,Corpus Christi [CRP],Dallas Fort Worth Airport (DFW),AS 4506,18:28,
2033,Laredo [LRD],Dallas Fort Worth Airport (DFW),QR 7987,18:23,
2034,Laredo [LRD],Dallas Fort Worth Airport (DFW),IB 4681,18:23,
2035,Laredo [LRD],Dallas Fort Worth Airport (DFW),GF 4299,18:23,
2036,Laredo [LRD],Dallas Fort Worth Airport (DFW),AS 4538,18:23,
2037,Reno [RNO],Dallas Fort Worth Airport (DFW),QR 2635,14:43,
2038,Reno [RNO],Dallas Fort Worth Airport (DFW),QF 4475,14:43,
2039,Reno [RNO],Dallas Fort Worth Airport (DFW),IB 4776,14:43,
2040,Reno [RNO],Dallas Fort Worth Airport (DFW),BA 6539,14:43,
2041,Kansas City [MCI],Dallas Fort Worth Airport (DFW),AA 1407,18:11,
2042,Grand Junction [GJT],Dallas Fort Worth Airport (DFW),AA 3592,16:49,
2043,Monroe [MLU],Dallas Fort Worth Airport (DFW),AA 3623,18:29,
2044,Kansas City [MCI],Dallas Fort Worth Airport (DFW),QF 4384,18:11,
2045,Kansas City [MCI],Dallas Fort Worth Airport (DFW),IB 4468,18:11,
2046,Kansas City [MCI],Dallas Fort Worth Airport (DFW),BA 4887,18:11,
2047,Kansas City [MCI],Dallas Fort Worth Airport (DFW),AS 6158,18:11,
2048,Monroe [MLU],Dallas Fort Worth Airport (DFW),QR 2793,18:29,
2049,Monroe [MLU],Dallas Fort Worth Airport (DFW),QF 4626,18:29,
2050,Grand Junction [GJT],Dallas Fort Worth Airport (DFW),QR 7883,16:49,
2051,Grand Junction [GJT],Dallas Fort Worth Airport (DFW),QF 4193,16:49,
2052,Grand Junction [GJT],Dallas Fort Worth Airport (DFW),BA 4413,16:49,
2053,Charlotte [CLT],Dallas Fort Worth Airport (DFW),AA 1816,17:19,18:34
2054,Charlotte [CLT],Dallas Fort Worth Airport (DFW),QF 3087,17:19,18:34
2055,Durango [DRO],Dallas Fort Worth Airport (DFW),OO 4929,16:34,19:00
2056,Denver City [DEN],Dallas Fort Worth Airport (DFW),UA 6086,15:55,
2057,Little Rock [LIT],Dallas Fort Worth Airport (DFW),AA 4994,18:15,
2058,Little Rock [LIT],Dallas Fort Worth Airport (DFW),OO 4994,18:15,19:01
2059,Santa Rosa [STS],Dallas Fort Worth Airport (DFW),MQ 3393,14:04,19:02
2060,New York [JFK],Dallas Fort Worth Airport (DFW),AA 2423,16:09,18:17
2061,New York [LGA],Dallas Fort Worth Airport (DFW),AA 2916,15:59,19:04
