,IATA,IACO,Aerolinea,Llamada de Identificación,País
0,PR,BOI,2GO,ABAIR,Philippines
1,1A,NO,Amadeus IT Group S.A.,NO,Global
2,1B,NO,Sabre travel network Asia-Pacific (ex-Abacus),NO,APAC
3,1E,NO,Travelsky,NO,China
4,1F,NO,"Infini travel information, Inc.",NO,Japan
5,1G,NO,Travelport (Galileo core),NO,Global
6,1H,NO,Sirena travel,NO,Russia
7,1J,NO,"Axess international network, Inc.",NO,Japan
8,1K,NO,AIRKIOSK,NO,Global
9,1M,NO,Sirin,NO,Russia
10,1P,NO,Travelport (Worldspan core),NO,Global
11,1S,NO,Sabre travel network,NO,Global
12,1T,NO,Hitit Computer Services,NO,Turkey
13,1U,NO,Google/ITA,NO,United States
14,2T,TBS,Timbis Air,TIMBIS,Kenya
15,3F,FIE,FlyOne Armenia,ARMRIDER,Armenia
16,Q5,MLA,40-Mile Air,MILE-AIR,United States
17,4D,ASD,Air Sinai,AIR SINAI,Egypt
18,4R,SEK,Star East Airline[de;fa;it;pl],EAST RIDER,Romania
19,4O,AIJ,Interjet,ABC AEROLINEAS,Mexico
20,4Y,OCN,Eurowings Discover,EUROWINGS DISCOVER,Germany
21,5F,FIA,FlyOne,FIA,Moldova
22,5W,WAZ,Wizz Air Abu Dhabi,WIZZ SKY,United Arab Emirates
23,6E,IGO,IndiGo,IFLY,India
24,6H,ISR,Israir,ISRAIR,Israel
25,7A,XRC,Express Air Cargo,TUNISIA CARGO,Tunisia
26,7B,UBE,Bees Airline,FLOWER BEE,Ukraine
27,7S,RYA,Ryan Air Services,RYAN AIR,United States
28,9U,MLD,Air Moldova,AIR MOLDOVA,Moldova
29,BJ,ABJ,Abaeté Linhas Aéreas,ABAETE,Brazil
30,RL,ABG,Abakan-Avia,ROYAL FLIGHT,Russia
31,W9,AAB,Abelag Aviation,ABG,Belgium
32,M3,TUS,ABSA Cargo,Turismo,Brazil
33,GB,ABX,ABX Air,ABEX,United States
34,ZA,CYD,AccessAir,CYCLONE,United States
35,VX,AES,ACES Colombia,ACES,Colombia
36,KI,DHI,Adam Air,ADAM SKY,Indonesia
38,JP,ADR,Adria Airways,ADRIA,Slovenia
39,AN,WSN,Advanced Air,WINGSPAN,United States
40,A3,AEE,Aegean Airlines,AEGEAN,Greece
41,9D,CND,Aero Continente Dominicana,CONDOMINICANA,Dominican Republic
42,ML,AEK,Aero Costa Rica,ACORISA,Costa Rica
43,DW,UCR,Aero-Charter Ukraine,CHARTER UKRAINE,Ukraine
44,SU,AFL,Aeroflot,AEROFLOT,Russia
45,P3,PLS,Aeroflot-Plus,AEROPLUS,Russia
46,OB,AAT,Austrian Airtransport,AUSTRIAN CHARTER,Austria
47,SM,AAW,Allied Airways,NO,United Kingdom
48,KJ,AAZ,Asian Air,NO,Kyrgyzstan
49,YE,ACQ,Aryan Cargo Express,NO,India
50,VJ,AFF,Africa Airways,AFRIWAYS,Benin
51,QH,FLA,Air Florida,PALM,United States
52,3O,MAC,Air Arabia Maroc,ARABIA MAROC,Morocco
53,HD,ADO,AIRDO,AIR DO,Japan
54,UJ,LMU,AlMasria Universal Airlines,ALMASRIA,Egypt
55,A2,AWG,Animawings,ANIMA WINGS,Romania
56,X9,NVD,Avion Express,NORDVIND,Lithuania
58,JU,ASL,Air Serbia,AIR SERBIA,Serbia
60,XK,CCM,Air Corsica,CORSICA,France
61,EI,EIN,Aer Lingus,SHAMROCK,Ireland
62,EG,EUK,Aer Lingus UK,GREEN FLIGHT,United Kingdom
63,A8,XAU,Aerolink Uganda,PEARL,Uganda
64,RV,ROU,Air Canada Rouge,ROUGE,Canada
66,6U,ACX,Air Cargo Germany,LOADMASTER,Germany
67,ZI,AAF,Aigle Azur,AIGLE AZUR,France
68,AE,AE,Air Ceylon,CEYLON,Sri Lanka
70,8U,AAW,Afriqiyah Airways,AFRIQIYAH,Libya
71,Q9,AFU,Afrinat International Airlines,AFRINAT,Gambia
73,QB,AAJ,Air Alma,AIR ALMA,Canada
74,LD,AHK,Air Hong Kong,AIR HONG KONG,Hong Kong
75,2Y,ADW,Air Andaman,AIR ANDAMAN,Thailand
76,UX,AEA,Air Europa,EUROPA,Spain
77,IG,AEY,Air Italy,AIR ITALY,Italy
78,NX,AMU,Air Macau,AIR MACAO,Macao
79,6A,AMW,Armenia Airways,ARMENIA,Armenia
80,HM,SEY,Air Seychelles,SEYCHELLES,Seychelles
81,AF,AFR,Air France,AIRFRANS,France
82,SB,ACI,Air Caledonie International,AIRCALIN,France
83,EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan
84,ED,AXE,AirExplore,GALILEO,Slovakia
85,ZW,AWI,Air Wisconsin,WISCONSIN,United States
86,YI,RSI,Air Sunshine,AIR SUNSHINE,United States
87,GN,AGN,Air Gabon,GOLF NOVEMBER,Gabon
88,9T,RUN,Air ACT,CARGO TURK,Turkey
89,ZB,ABN,Air Albania,AIR ALBANIA,Albania
90,3J,AAQ,Air Alliance,LIAISON,Canada
91,WP,ATW,Air Antwerp,DEVIL,Belgium
92,BX,ABL,Air Busan,AIR BUSAN,South Korea
93,LB,LEP,Air Costa,LECOSTA,India
94,GL,GRL,Air Greenland,GREENLAND,Greenland
95,3S,GUY,Air Guyane Express,GREEN BIRD,French Guiana
96,NQ,AJX,Air Japan,AIR JAPAN,Japan
97,IJ,LIB,Air Liberté,LIBERTE,France
98,TT,KLA,Air Lithuania,KAUNAS,Lithuania
99,QM,AIM,Air Malawi,MALAWI,Malawi
100,L6,AMI,Air Maldives,AIR MALDIVES,Maldives
102,P8,MKG,Air Mekong,MEKONG,Vietnam
103,ZQ,MNE,Air Montenegro,MOUNT EAGLE,Montenegro
105,4N,ANT,Air North Charter- Canada,AIR NORTH,Canada
106,YP,APZ,Air Premia,AIR PREMIA,South Korea
107,ZX,ABL,Air BC,AIRCOACH,Canada
108,G8,AGB,Air Service Gabon,NO,Gabon
109,7T,AGV,Air Glaciers,AIR GLACIERS,Switzerland
110,6V,VGA,Air Vegas,AIR VEGAS,United States
111,NH,ANA,All Nippon Airways,ALL NIPPON,Japan
112,TZ,TWG,air-taxi Europe,TWINGOOSE,Germany
113,2Q,SNC,Air Cargo Carriers,NIGHT CARGO,United States
114,V7,SNG,Air Senegal International,AIR SENEGAL,Senegal
115,AB,BER,Air Berlin,AIR BERLIN,Germany
117,QN,ARR,Air Armenia,AIR ARMENIA,Armenia
118,AI,AIC,Air IndiaLimited,AIRINDIA,India
119,PJ,SPM,Air Saint Pierre,SAINT-PIERRE,France
120,SZ,WOW,Air Southwest,SWALLOW,United Kingdom
121,8C,ATN,Air Transport International,AIR TRANSPORT,United States
122,NF,AVN,Air Vanuatu,AIR VAN,Vanuatu
124,CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland
125,RB,SBK,Air Srpska,Air Srpska,Bosnia and Herzegovina
126,TN,THT,Air Tahiti Nui,TAHITI AIRLINES,France
127,SW,NMB,Air Namibia,NAMIBIA,Namibia
128,AW,AFW,Africa World Airlines,BLACKSTAR,Ghana
129,PE,AEL,Air Europe Italy,AIR EUROPE,Italy
130,JM,AJM,Air Jamaica,JAMAICA,Jamaica
131,6G,AWW,Air Wales,RED DRAGON,United Kingdom
132,TX,FWI,Air Caraïbes,FRENCH WEST,France
133,IX,AXB,Air India Express,EXPRESS INDIA,India
134,BT,BTI,Air Baltic,AIRBALTIC,Latvia
135,EL,ANK,Air Nippon,ANK AIR,Japan
136,YW,ANE,Air Nostrum,AIR NOSTRUM,Spain
137,PX,ANG,Air Niugini,NIUGINI,Papua New Guinea
138,G9,ABY,Air Arabia,ARABIA,United Arab Emirates
139,AC,ACA,Air Canada,AIR CANADA,Canada
140,AP,LAV,AlbaStar,ALBASTAR,Spain
141,E9,MHS,Air Memphis,AIR MEMPHIS,Egypt
142,XT,AXL,Air Exel,EXEL COMMUTER,Netherlands
143,UM,AZW,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe
144,S2,RSH,Air Sahara,SAHARA,India
145,TC,ATC,Air Tanzania,TANZANIA,Tanzania
146,2J,VBW,Air Burkina,BURKINA,Burkina Faso
147,KM,AMC,Air Malta,AIR MALTA,Malta
148,YT,TGA,Air Togo,AIR TOGO,Togo
149,G4,AAY,Allegiant Air,ALLEGIANT,United States
150,O4,ABV,Antrak Air,ANTRAK,Ghana
152,8T,TID,Air Tindi,TINDI,Canada
153,3L,ADY,Air Arabia Abu Dhabi,Nawras[6][7],United Arab Emirates
